t,path_0,path_1,path_2
0,0,0,0
0.00333333,0.29138,0.724684,-0.432345
0.00666667,-0.114115,-0.15924,-1.20355
0.01,0.705736,-0.720591,-0.143343
0.0133333,0.553013,-0.230958,0.0327011
0.0166667,0.327715,0.461136,-0.254584
0.02,-0.100184,-0.411523,0.554253
0.0233333,-0.0725791,-0.156911,0.519866
0.0266667,-0.869549,0.100171,0.564189
0.03,-0.686633,0.639387,0.448218
0.0333333,-0.155712,-0.841691,0.0431755
0.0366667,-0.292957,0.596814,-0.279625
0.04,-0.182915,1.01301,0.296724
0.0433333,-0.388348,0.598416,0.0897378
0.0466667,-0.233564,0.126543,0.86555
0.05,-0.273306,-0.454459,-0.0944107
0.0533333,-0.475045,0.23559,0.184356
0.0566667,-0.661957,0.624642,-0.886909
0.06,-0.296067,0.382035,-0.592377
0.0633333,-0.342867,-0.229508,0.887162
0.0666667,-0.247572,0.452192,0.19234
0.07,-0.326252,0.6096,1.54124
0.0733333,0.25047,-0.0562196,0.124178
0.0766667,0.817747,-0.888637,0.116588
0.08,-0.0421953,0.110139,0.90701
0.0833333,0.584801,-0.0562301,0.401615
0.0866667,-0.737036,-1.17972,0.407122
0.09,-0.679747,-0.551873,0.617466
0.0933333,0.0583856,-0.659872,1.24523
0.0966667,0.0386824,0.0394942,0.859205
0.1,0.459262,-0.40686,1.23865
0.103333,-0.44405,-0.14797,0.977119
0.106667,-0.304936,-0.159679,0.754644
0.11,-0.504272,-1.77337,0.0486611
0.113333,-0.00284361,-1.36573,0.268692
0.116667,-0.314907,0.163324,-0.301723
0.12,-0.85675,0.129853,0.556312
0.123333,-0.387773,-0.0999905,0.142141
0.126667,-0.578714,-0.360625,0.148391
0.13,0.156226,0.523878,0.982339
0.133333,-0.266383,0.166625,0.817048
0.136667,-0.307101,0.257712,0.898216
0.14,0.0776544,0.494322,1.22137
0.143333,0.431409,0.216987,0.72019
0.146667,-0.378155,0.18026,0.417366
0.15,1.11598,-0.0461791,0.356251
0.153333,0.672461,-0.628457,0.338789
0.156667,1.12956,-0.298583,0.240954
0.16,0.68363,0.228071,0.189908
0.163333,0.556277,-0.576912,0.776468
0.166667,0.686683,-0.204739,0.275634
0.17,0.840975,-0.87931,0.0577077
0.173333,-0.140702,-0.203242,-0.212108
0.176667,0.0293474,-0.377166,0.802578
0.18,-0.203668,-0.165436,-0.341564
0.183333,-0.0633272,0.269156,0.4404
0.186667,0.0259677,-0.878625,-0.101693
0.19,-0.317849,0.513604,0.767828
0.193333,-0.799854,-0.0985848,0.61075
0.196667,0.0312313,-0.495498,-0.00668452
0.2,0.321811,0.464433,0.162588
0.203333,0.130815,-0.525289,-1.07327
0.206667,0.392109,-0.569435,-0.936039
0.21,0.280157,-0.506324,-0.00269821
0.213333,0.493257,-1.09357,-0.0737566
0.216667,0.817849,-1.4777,-0.812671
0.22,0.346716,-0.140284,-0.0955744
0.223333,-0.0177487,-0.130092,-0.507944
0.226667,0.0769673,0.0493602,0.223729
0.23,0.737496,0.127451,-0.395725
0.233333,0.932252,0.141825,-0.602725
0.236667,0.822399,0.301179,-0.996647
0.24,-0.174153,-0.485371,-0.456262
0.243333,0.764255,-1.34353,-0.206007
0.246667,-0.519865,-0.833313,-0.313706
0.25,0.449957,-0.988389,-0.200273
0.253333,-0.194433,-0.645477,0.287143
0.256667,0.244554,-0.739663,0.0267372
0.26,-0.125541,0.0259981,-0.671913
0.263333,-0.0668602,-0.175385,-0.796289
0.266667,-0.612994,-0.288241,-0.91614
0.27,0.285176,-0.363891,-1.43789
0.273333,0.0103452,-0.462957,-1.42757
0.276667,0.30338,-0.881511,-0.37852
0.28,0.976391,-0.14373,-0.89646
0.283333,-0.0752895,-0.82297,-0.960549
0.286667,0.325736,-0.857431,0.327811
0.29,0.322576,-0.94082,-0.504389
0.293333,-0.418501,-0.00668899,0.10182
0.296667,0.292598,-0.688864,0.102841
0.3,0.200181,-0.583134,-0.91649
0.303333,0.325647,-0.869923,0.422777
0.306667,0.541941,-0.771195,0.00598261
0.31,0.731979,-1.13347,1.21874
0.313333,-0.264324,-0.562816,-0.391457
0.316667,-0.304071,-0.917935,-0.0182991
0.32,-0.0413293,-1.36413,0.732314
0.323333,-0.636108,-1.54398,-0.105935
0.326667,-0.380051,-1.44434,-0.0791539
0.33,0.154532,-1.9023,-0.0836159
0.333333,-0.198339,-1.46806,0.0238367
0.336667,-0.49394,-1.97421,-0.14715
0.34,-0.365075,-0.624184,0.182366
0.343333,-0.00929273,-1.25241,0.0880388
0.346667,-0.241317,-1.41781,0.704137
0.35,-0.634134,-2.00002,0.739204
0.353333,-0.939287,-0.622674,0.253404
0.356667,-1.06987,-0.568743,0.436801
0.36,-0.558695,-0.815411,-0.461173
0.363333,-0.594108,-1.42518,-0.655361
0.366667,0.415572,-1.21272,-0.181051
0.37,-0.533793,-0.358721,0.337918
0.373333,-0.736937,-0.848069,-0.755421
0.376667,-0.709003,-0.156989,-0.159477
0.38,-0.722461,-0.892359,0.285961
0.383333,0.0641326,-0.159151,0.215423
0.386667,-1.27192,-0.418006,0.874278
0.39,-0.646275,-0.761942,0.523752
0.393333,-0.581986,-0.534329,0.924297
0.396667,-1.0361,-0.496069,-0.00586243
0.4,-0.295754,0.199608,0.12646
0.403333,-0.279894,0.0629593,0.0814866
0.406667,-0.767903,-0.161884,-0.12736
0.41,-0.370163,0.117342,0.423575
0.413333,-0.479097,0.265309,0.843674
0.416667,-0.563809,-0.369299,0.816247
0.42,-0.515008,-0.866999,0.653975
0.423333,0.0301749,-0.834899,0.621767
0.426667,0.392557,-0.880881,0.746522
0.43,0.629081,-0.964306,1.08386
0.433333,-1.05523,-1.13429,-0.0170813
0.436667,0.231424,-0.592776,0.897961
0.44,0.903861,-0.53873,0.348529
0.443333,-0.110253,-0.828288,0.136177
0.446667,-0.0720176,-0.693774,0.890462
0.45,-0.318546,-0.718366,0.360596
0.453333,0.206157,-0.0759657,0.884722
0.456667,-0.0204303,-0.726634,0.700842
0.46,0.135266,-0.136173,0.415039
0.463333,-0.169217,0.211461,0.510689
0.466667,0.507768,-0.0333686,0.620449
0.47,0.309256,-0.522028,0.461657
0.473333,-0.0544245,-1.59082,-0.150296
0.476667,0.0880041,-0.218246,-1.06226
0.48,0.967056,-0.244967,0.90205
0.483333,0.762665,-0.406189,0.788656
0.486667,0.236039,-0.340466,0.854742
0.49,-0.146513,0.189497,0.329033
0.493333,0.458982,0.544599,-0.21026
0.496667,0.75951,0.0580337,1.07227
0.5,0.143347,-0.458821,0.0556119
0.503333,-0.90416,0.575501,0.86661
0.506667,0.047025,0.208542,1.03716
0.51,0.409759,-0.0108565,1.28134
0.513333,0.364832,0.383406,0.880428
0.516667,0.516617,-0.80149,1.41431
0.52,-0.111497,-0.162273,0.943038
0.523333,0.300664,0.097656,0.55221
0.526667,1.06473,0.354156,0.645186
0.53,0.225604,-0.0352913,0.666078
0.533333,0.0281672,0.53866,1.51379
0.536667,0.378112,-0.0853458,0.51135
0.54,0.26797,0.0716815,0.303268
0.543333,0.484993,-0.270763,0.965762
0.546667,0.347634,-0.646263,0.287634
