t,path_0,path_1,path_2
0,0,0,0
0.00333333,0.00303923,0.00755878,-0.00450956
0.00666667,0.00311331,0.0087071,-0.0152441
0.01,0.00903335,0.00407732,-0.0183346
0.0133333,0.014752,0.00247114,-0.0182378
0.0166667,0.0183263,0.00714465,-0.0199329
0.02,0.0179647,0.00598211,-0.0155781
0.0233333,0.017071,0.00558614,-0.010381
0.0266667,0.00984268,0.00754055,-0.00496859
0.03,0.00300408,0.0142028,-0.000632193
0.0333333,0.000825609,0.00982238,9.49824e-05
0.0366667,-0.00140847,0.0146644,-0.00251711
0.04,-0.00278075,0.0248327,-0.00109334
0.0433333,-0.00556153,0.0323401,-0.000456925
0.0466667,-0.00735116,0.0352658,0.00611649
0.05,-0.00918761,0.0325986,0.00612379
0.0533333,-0.0126304,0.0344515,0.00688055
0.0566667,-0.0178195,0.0404384,-0.000629169
0.06,-0.0203033,0.0451449,-0.00732459
0.0633333,-0.0225218,0.0445602,-0.0016894
0.0666667,-0.0239424,0.0484,0.000803754
0.07,-0.0258141,0.0544526,0.013121
0.0733333,-0.023177,0.0554468,0.0159272
0.0766667,-0.0151695,0.0487367,0.016413
0.08,-0.0132387,0.0487143,0.0229084
0.0833333,-0.00774733,0.0489425,0.0264836
0.0866667,-0.0121141,0.0401651,0.0293132
0.09,-0.0180599,0.0348096,0.033689
0.0933333,-0.0180963,0.0296461,0.04332
0.0966667,-0.0170452,0.0301853,0.0507207
0.1,-0.0125431,0.0283603,0.0604359
0.103333,-0.0146609,0.0280509,0.068386
0.106667,-0.017067,0.028019,0.0739857
0.11,-0.0209395,0.0151188,0.0734162
0.113333,-0.0210277,0.00311626,0.073446
0.116667,-0.0227871,0.00404889,0.0692433
0.12,-0.0292515,0.00733098,0.0711834
0.123333,-0.032754,0.00892556,0.0712158
0.126667,-0.0370017,0.00798761,0.0708515
0.13,-0.0355072,0.0135882,0.0771835
0.133333,-0.0362277,0.0175545,0.08348
0.136667,-0.0378553,0.0216442,0.0901744
0.14,-0.0365389,0.0275603,0.099413
0.143333,-0.0318442,0.0314628,0.104974
0.146667,-0.0331165,0.0345112,0.10721
0.15,-0.0237599,0.03554,0.108342
0.153333,-0.0158815,0.0314989,0.1092
0.156667,-0.00510068,0.0292,0.109292
0.16,0.00248321,0.0316471,0.1089
0.163333,0.00812097,0.0285814,0.113189
0.166667,0.0143267,0.0273577,0.114422
0.17,0.0217793,0.0212934,0.113223
0.173333,0.0214946,0.0197392,0.109519
0.176667,0.020996,0.0178838,0.113582
0.18,0.0188152,0.0176131,0.110123
0.183333,0.0175163,0.0211622,0.111329
0.186667,0.0172495,0.0162107,0.109349
0.19,0.0145003,0.0206477,0.113629
0.193333,0.00749137,0.0221916,0.117955
0.196667,0.00649964,0.0197192,0.117154
0.2,0.00921445,0.0242041,0.116696
0.203333,0.0110111,0.02218,0.10658
0.206667,0.014613,0.0183604,0.0958266
0.21,0.0176297,0.0149073,0.092891
0.213333,0.022113,0.0069524,0.0911184
0.216667,0.0293983,-0.00480316,0.0836125
0.22,0.0333003,-0.00628445,0.0808248
0.223333,0.0334558,-0.00545107,0.0758936
0.226667,0.0336765,-0.00294308,0.0763643
0.23,0.0392741,0.000414381,0.073031
0.233333,0.0474354,0.00389821,0.0672007
0.236667,0.0549851,0.00853143,0.0579067
0.24,0.0542588,0.00696729,0.0524491
0.243333,0.0593723,-0.00274485,0.0499596
