t,path_0,path_1,path_2
0,0,0,0
0.00333333,0.0297585,0.0740117,-0.0441553
0.00666667,-0.00200926,0.00906259,-0.151967
0.01,0.0769982,-0.0900352,-0.0890147
0.0133333,0.104357,-0.0916761,-0.0361196
0.0166667,0.097189,-0.0150923,-0.0379861
0.02,0.0442559,-0.0753077,0.0604997
0.0233333,0.0158039,-0.0798532,0.118806
0.0266667,-0.100299,-0.0539505,0.166619
0.03,-0.153946,0.0262761,0.189012
0.0333333,-0.13128,-0.101709,0.160326
0.0366667,-0.14049,-0.0042509,0.107835
0.04,-0.135881,0.103738,0.145866
0.0433333,-0.160579,0.125839,0.143625
0.0466667,-0.159296,0.0903178,0.238431
0.05,-0.166079,0.0021303,0.183737
0.0533333,-0.196783,0.0305441,0.188761
0.0566667,-0.241122,0.0923807,0.0619457
0.06,-0.228301,0.102801,0.0169455
0.0633333,-0.230301,0.0386484,0.161612
0.0666667,-0.222076,0.0827855,0.164796
0.07,-0.228124,0.12843,0.336627
0.0733333,-0.162632,0.0786274,0.277817
0.0766667,-0.0521985,-0.0515165,0.250474
0.08,-0.0825165,-0.0149788,0.332126
0.0833333,-0.0178865,-0.0193974,0.324326
0.0866667,-0.134899,-0.161229,0.3259
0.09,-0.198471,-0.178451,0.35575
0.0933333,-0.153484,-0.212495,0.454255
0.0966667,-0.131942,-0.155682,0.474934
0.1,-0.0666887,-0.179428,0.543176
0.103333,-0.13359,-0.163976,0.562022
0.106667,-0.155903,-0.157997,0.555557
0.11,-0.196575,-0.352223,0.471714
0.113333,-0.16389,-0.429721,0.448219
0.116667,-0.184278,-0.305983,0.361549
0.12,-0.263833,-0.241116,0.408528
0.123333,-0.259985,-0.226721,0.383132
0.126667,-0.286627,-0.246501,0.367611
0.13,-0.217294,-0.149778,0.457949
0.133333,-0.227472,-0.131042,0.495093
0.136667,-0.237381,-0.102401,0.533916
0.14,-0.197058,-0.0510757,0.603485
0.143333,-0.128433,-0.0475982,0.592892
0.146667,-0.18081,-0.0443897,0.556526
0.15,-0.0274647,-0.0665304,0.529375
0.153333,0.017888,-0.149638,0.510364
0.156667,0.112676,-0.163131,0.485588
0.16,0.127888,-0.111966,0.462352
0.163333,0.132849,-0.179869,0.517309
0.166667,0.159454,-0.177309,0.489976
0.17,0.20111,-0.261703,0.44786
0.173333,0.113933,-0.235982,0.38697
0.176667,0.0842958,-0.246792,0.468693
0.18,0.0356009,-0.230055,0.377275
0.183333,0.0197064,-0.168309,0.415425
0.186667,0.0171928,-0.268957,0.369439
0.19,-0.028743,-0.161525,0.445582
0.193333,-0.118987,-0.170986,0.473025
0.196667,-0.0798558,-0.221762,0.418318
0.2,-0.0261284,-0.136415,0.406193
0.203333,-0.0161055,-0.204079,0.245422
0.206667,0.0242189,-0.249789,0.155601
0.21,0.0381401,-0.274164,0.200373
0.213333,0.0763772,-0.365758,0.209689
0.216667,0.143625,-0.476316,0.121368
0.22,0.133914,-0.392961,0.148601
0.223333,0.089477,-0.348601,0.108289
0.226667,0.0752887,-0.299414,0.168266
0.23,0.146505,-0.257084,0.12666
0.233333,0.21649,-0.225059,0.0742998
0.236667,0.253322,-0.181089,-0.0114195
0.24,0.162438,-0.244842,-0.00689253
0.243333,0.224184,-0.386823,0.0179017
0.246667,0.10615,-0.418535,0.0157634
0.25,0.151426,-0.467269,0.0259223
0.253333,0.097515,-0.463954,0.0898536
0.256667,0.116735,-0.480487,0.0984498
0.26,0.0812347,-0.402035,0.0211063
0.263333,0.0650223,-0.379566,-0.0434383
0.266667,-0.0146934,-0.376933,-0.104652
0.27,0.0408,-0.382928,-0.214999
0.273333,0.0373464,-0.398367,-0.293674
0.276667,0.0708725,-0.459931,-0.228498
0.28,0.174465,-0.411227,-0.261243
0.283333,0.115107,-0.467063,-0.294359
0.286667,0.132292,-0.507582,-0.164081
0.29,0.143281,-0.548095,-0.186862
0.293333,0.0613784,-0.465144,-0.124156
0.296667,0.0964864,-0.49982,-0.0836868
0.3,0.104324,-0.508092,-0.178992
0.303333,0.125162,-0.550668,-0.0740287
0.306667,0.165864,-0.56846,-0.0604717
0.31,0.2174,-0.628554,0.100957
0.313333,0.132705,-0.601839,0.0123527
0.316667,0.0775478,-0.634079,0.0113178
0.32,0.0714708,-0.712163,0.103216
0.323333,-0.00928553,-0.789403,0.0618884
0.326667,-0.033232,-0.835489,0.0446465
0.33,0.0101147,-0.931336,0.034027
0.333333,-0.00975084,-0.950006,0.0403624
0.336667,-0.0594952,-1.03618,0.0233671
0.34,-0.0784107,-0.93643,0.0530311
0.343333,-0.0517974,-0.959729,0.0602506
0.346667,-0.0667037,-0.997043,0.141944
0.35,-0.12554,-1.09694,0.201081
0.353333,-0.203447,-0.999678,0.186253
0.356667,-0.275584,-0.939798,0.20594
0.36,-0.268251,-0.931596,0.112264
0.363333,-0.277103,-0.999136,0.0308085
0.366667,-0.164802,-1.01702,0.0322849
0.37,-0.211992,-0.928851,0.0906172
0.373333,-0.264357,-0.935086,-0.00802331
0.376667,-0.297256,-0.852168,0.00193936
0.38,-0.325149,-0.88772,0.0575261
0.383333,-0.252187,-0.816561,0.0829854
0.386667,-0.372946,-0.801627,0.182097
0.39,-0.374526,-0.829592,0.206364
0.393333,-0.37542,-0.816967,0.278522
0.396667,-0.436308,-0.803963,0.217465
0.4,-0.389088,-0.709343,0.201541
0.403333,-0.362679,-0.662719,0.186696
0.406667,-0.406461,-0.65311,0.151857
0.41,-0.386548,-0.60618,0.196308
0.413333,-0.390265,-0.552824,0.27501
0.416667,-0.404201,-0.589615,0.32524
0.42,-0.408825,-0.667599,0.344311
0.423333,-0.347291,-0.712579,0.359434
0.426667,-0.264527,-0.750483,0.389882
0.43,-0.17906,-0.789225,0.455652
0.433333,-0.323326,-0.839576,0.369127
0.436667,-0.25221,-0.811031,0.431973
0.44,-0.127575,-0.791635,0.405501
0.443333,-0.167366,-0.816232,0.366817
0.446667,-0.17974,-0.816327,0.435245
